fifa_id,name,squad_id,team,position,price,status,total_points,avg_points,matches_played,percent_selected,round_1_points,round_2_points,round_3_points,round_4_points,next_fixture,betano_matched_name,betano_match_score,anytime_scorer_odd,anytime_scorer_prob,first_scorer_odd,first_scorer_prob,last_scorer_odd,match_home,match_away,is_home,opponent,match_home_win_odd,match_draw_odd,match_away_win_odd,match_btts_prob,match_over_25_odd,match_over_25_prob,match_over_35_odd,team_over_05_odd,team_over_15_odd,team_score_prob,team_score_2_prob,team_cs_prob,team_qualify_odd,team_win2_odd,opp_over_05_odd,opp_score_prob,opp_cs_prob,stat_GS,stat_AS,stat_CS,stat_GC,stat_MP,stat_YC,stat_RC,stat_ST,stat_SB,stat_CC,stat_PS,stat_T,stat_S,stat_SXI,stat_OG,stat_PC,stat_PW,stat_FK,round_1_SXI,round_1_MP,round_1_AS,round_1_YC,round_1_RC,round_1_OG,round_1_PW,round_1_PC,round_1_CS,round_1_GS,round_1_GC,round_1_PS,round_1_T,round_1_CC,round_1_ST,round_1_FK,round_1_S,round_1_SB,round_2_SXI,round_2_MP,round_2_AS,round_2_YC,round_2_RC,round_2_OG,round_2_PW,round_2_PC,round_2_CS,round_2_GS,round_2_GC,round_2_PS,round_2_T,round_2_CC,round_2_ST,round_2_FK,round_2_S,round_2_SB,round_3_SXI,round_3_MP,round_3_AS,round_3_YC,round_3_RC,round_3_OG,round_3_PW,round_3_PC,round_3_CS,round_3_GS,round_3_GC,round_3_PS,round_3_T,round_3_CC,round_3_ST,round_3_FK,round_3_S,round_3_SB,round_4_SXI,round_4_MP,round_4_AS,round_4_YC,round_4_RC,round_4_OG,round_4_PW,round_4_PC,round_4_CS,round_4_GS,round_4_GC,round_4_PS,round_4_T,round_4_CC,round_4_ST,round_4_FK,round_4_S,round_4_SB
28,Cristian Romero,2,Argentina,DEF,4.9,playing,14,4.7,3,5.8,9.0,1.0,,4.0,,Cristian Romero,100.0,6.8,0.1471,16.0,0.0625,16.5,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,1.0,2.0,2.0,257.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
29,Marcos Senesi,2,Argentina,DEF,4.7,playing,4,4.0,1,0.3,,,4.0,,,Marcos Senesi,100.0,6.8,0.1471,16.0,0.0625,16.5,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
30,Nahuel Molina,2,Argentina,DEF,4.4,playing,11,3.7,3,4.3,1.0,9.0,,1.0,,Nahuel Molina,100.0,9.75,0.1026,24.0,0.0417,25.0,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,2.0,2.0,239.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
31,Nicolás Otamendi,2,Argentina,DEF,4.4,playing,4,1.3,3,1.6,1.0,1.0,2.0,,,Nicolás Otamendi,100.0,7.8,0.1282,19.0,0.0526,19.0,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,2.0,1.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
32,Marcos Acuña,2,Argentina,DEF,4.3,transferred,0,0.0,0,0.0,,,,,,,,150.0,0.0067,,,,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Lucas Martínez Quarta,2,Argentina,DEF,4.3,transferred,0,0.0,0,0.0,,,,,,,,150.0,0.0067,,,,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Nicolás Tagliafico,2,Argentina,DEF,4.3,playing,4,1.3,3,0.6,,1.0,2.0,1.0,,Nicolás Tagliafico,100.0,7.8,0.1282,19.0,0.0526,19.0,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,1.0,2.0,132.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
35,Gabriel Rojas,2,Argentina,DEF,4.0,transferred,0,0.0,0,0.0,,,,,,,,150.0,0.0067,,,,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Agustín Giay,2,Argentina,DEF,3.7,transferred,0,0.0,0,0.0,,,,,,,,150.0,0.0067,,,,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Lionel Messi,2,Argentina,FWD,10.0,playing,50,12.5,4,52.6,19.0,14.0,7.0,10.0,,Lionel Messi,100.0,1.62,0.6173,2.82,0.3546,2.82,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,7.0,0.0,3.0,2.0,320.0,0.0,0.0,15.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0
